#OTU ID	CZ.MB96.S96.L001.	CZ.MB83.S83.L001.	CZ.MB119.S119.L001.	CZ.MB43.S43.L001.	CZ.MB9.S9.L001.	CZ.MB14.S14.L001.	CZ.MB84.S84.L001.	SZ.SC4.S140.L001.	CZ.MB97.S97.L001.	CZ.MB3.S3.L001.	CZ.MB106.S106.L001.	CZ.MB76.S76.L001.	CZ.MB18.S18.L001.	CZ.MB38.S38.L001.	SZ.SC2.S138.L001.	CZ.MB125.S125.L001.	CZ.MB12.S12.L001.	CZ.MB117.S117.L001.	CZ.MB121.S121.L001.	CZ.MB11.S11.L001.	CZ.MB56.S56.L001.	CZ.MB67.S67.L001.	CZ.MB134.S134.L001.	CZ.MB129.S129.L001.	CZ.MB82.S82.L001.	CZ.MB33.S33.L001.	CZ.MB10.S10.L001.	CZ.MB91.S91.L001.	CZ.MB13.S13.L001.	CZ.MB87.S87.L001.	CZ.MB112.S112.L001.	CZ.MB90.S90.L001.	CZ.MB57.S57.L001.	CZ.MB89.S89.L001.	CZ.MB75.S75.L001.	CZ.MB132.S132.L001.	CZ.MB19.S19.L001.	CZ.MB80.S80.L001.	CZ.MB31.S31.L001.	CZ.MB105.S105.L001.	CZ.MB108.S108.L001.	CZ.MB79.S79.L001.	CZ.MB93.S93.L001.	SZ.SC5.S141.L001.	CZ.MB70.S70.L001.	CZ.MB42.S42.L001.	CZ.MB20.S20.L001.	CZ.MB69.S69.L001.	CZ.MB122.S122.L001.	CZ.MB118.S118.L001.	CZ.MB113.S113.L001.	SZ.SC7.S143.L001.	CZ.MB27.S27.L001.	CZ.MB136.S136.L001.	CZ.MB124.S124.L001.	CZ.MB39.S39.L001.	CZ.MB7.S7.L001.	CZ.MB29.S29.L001.	CZ.MB16.S16.L001.	CZ.MB86.S86.L001.	CZ.MB126.S126.L001.	CZ.MB58.S58.L001.	CZ.MB44.S44.L001.	CZ.MB102.S102.L001.	CZ.MB34.S34.L001.	SZ.SC3.S139.L001.	CZ.MB135.S135.L001.	CZ.MB99.S99.L001.	CZ.MB60.S60.L001.	CZ.MB92.S92.L001.	CZ.MB114.S114.L001.	CZ.MB71.S71.L001.	CZ.MB68.S68.L001.	CZ.MB45.S45.L001.	CZ.MB59.S59.L001.	CZ.MB130.S130.L001.	CZ.MB77.S77.L001.	CZ.MB116.S116.L001.	CZ.MB40.S40.L001.	CZ.MB17.S17.L001.	CZ.MB123.S123.L001.	CZ.MB23.S23.L001.	CZ.MB24.S24.L001.	CZ.MB94.S94.L001.	CZ.MB5.S5.L001.	CZ.MB2.S2.L001.	CZ.MB22.S22.L001.	CZ.MB128.S128.L001.	CZ.MB30.S30.L001.	CZ.MB35.S35.L001.	CZ.MB115.S115.L001.	CZ.MB104.S104.L001.	CZ.MB54.S54.L001.	CZ.MB107.S107.L001.	CZ.MB103.S103.L001.	CZ.MB78.S78.L001.	CZ.MB53.S53.L001.	CZ.MB55.S55.L001.	CZ.MB41.S41.L001.	CZ.MB32.S32.L001.	CZ.MB64.S64.L001.	CZ.MB85.S85.L001.	CZ.MB95.S95.L001.	CZ.MB133.S133.L001.	CZ.MB66.S66.L001.	CZ.MB61.S61.L001.	CZ.MB73.S73.L001.	CZ.MB110.S110.L001.	CZ.MB4.S4.L001.	CZ.MB37.S37.L001.	CZ.MB65.S65.L001.	CZ.MB100.S100.L001.	CZ.MB50.S50.L001.	CZ.MB88.S88.L001.	CZ.MB111.S111.L001.	CZ.MB28.S28.L001.	CZ.MB109.S109.L001.	CZ.MB8.S8.L001.	CZ.MB25.S25.L001.	SZ.SC6.S142.L001.	CZ.MB36.S36.L001.	CZ.MB26.S26.L001.	CZ.MB120.S120.L001.	CZ.MB63.S63.L001.	CZ.MB6.S6.L001.	CZ.MB98.S98.L001.	CZ.MB21.S21.L001.	CZ.MB62.S62.L001.	CZ.MB52.S52.L001.	CZ.MB127.S127.L001.	CZ.MB46.S46.L001.	CZ.MB49.S49.L001.	CZ.MB47.S47.L001.	CZ.MB72.S72.L001.	CZ.MB48.S48.L001.	CZ.MB101.S101.L001.	CZ.MB131.S131.L001.	SZ.SC1.S137.L001.	CZ.MB51.S51.L001.	CZ.MB1.S1.L001.	CZ.MB81.S81.L001.	CZ.MB15.S15.L001.
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_boviskoreani;t__Methanobrevibacter_boviskoreani_JH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	77	428	59	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_boviskoreani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	9	66	14	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_gottschalkii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii;t__Methanobrevibacter_smithii_ATCC_35061	0	2293	26	737	484	469	13	1	262	10	1	0	1279	2133	2	0	3574	15	0	102	2235	10	93	0	119	17	39	2781	135	309	1567	538	352	413	0	1	851	109	1129	6481	2447	1229	881	0	9	1	1	1	221	4	4276	1	161	3	0	1376	50	1390	8	197	1	74	0	1189	15	0	1	0	931	368	2168	27	24	1	227	9	14	3	8	25	77	0	0	1	436	128	0	1	19	496	7901	1861	193	1670	433	2	4343	3208	20	47	7	1012	3	24	4	4004	0	1001	2254	679	17	0	1071	2414	1254	66	1045	6	956	0	509	544	50	2457	72	1	0	1133	67	0	0	244	0	0	0	146	410	10	47	254	13	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	0	170	0	3	4	11	3	0	9	4	0	0	21	72	0	0	92	1	0	6	615	0	2	0	21	0	1	85	3	8	109	29	6	18	0	0	11	9	269	578	750	159	32	0	0	0	0	0	4	0	166	0	53	0	2	65	7	97	1	34	0	2	0	82	0	0	1	0	50	14	117	2	3	0	11	0	0	0	0	1	3	0	0	0	52	29	0	0	2	22	216	293	66	550	119	0	291	875	4	5	0	122	0	3	0	211	0	27	150	24	1	0	171	37	43	7	39	1	46	0	12	79	1	122	11	1	0	54	23	0	0	37	0	0	0	17	43	4	11	48	2	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_olleyae	0	0	0	0	7	0	0	2	0	130	1	0	0	0	66	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	7	23	0	1	0	0	0	10	0	0	0	0	1	0	0	21	4336	0	0	0	0	0	0	0	0	0	1	116	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2579	0	0	0	1	0	2137	0	0	7545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	653	0	0	429	0	0	0	0	0	726	0	0	0	0	0	0	914	0	0	0	0	0	0	0	0	86	1462	696	273	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_ruminantium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0	184	0	0	0	11	3	0	0	2	4	0	0	80	0	0	64	1	0	4	175	0	0	0	9	0	1	55	0	6	107	42	1	22	3	2	0	6	63	558	176	85	35	0	0	0	2	0	0	0	143	2	90	0	0	70	2	85	2	15	0	0	0	23	0	2	0	0	45	17	101	0	0	0	21	0	0	0	0	0	10	0	0	1	10	35	0	0	2	27	153	104	44	348	211	0	349	242	2	1	0	90	1	1	0	254	0	0	177	19	2	0	68	0	33	10	33	0	13	0	5	46	1	141	17	0	0	98	21	0	0	77	0	0	0	6	31	42	23	34	7	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_wolinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
